case,2023-10-20T23:30:34.755742,2023-10-21T00:38:13.160663,2023-10-21T00:42:49.956543,2023-10-21T00:50:08.428110,2023-10-21T01:17:21.760157,2023-10-21T01:21:32.438044,2023-10-21T01:50:36.630387,2023-10-21T01:54:26.281402,2023-10-21T01:57:51.652721,2023-10-21T02:01:48.867771,2023-10-21T02:05:03.877950,2023-10-21T02:14:35.367278,2023-10-21T02:18:43.473352,2023-10-21T02:20:40.484872,2023-10-21T02:22:41.002817,2023-10-21T10:31:06.980853,2023-10-21T10:34:36.903757,2023-10-21T10:36:26.601112,2023-10-21T10:38:10.737221,2023-10-21T10:40:09.883808,2023-10-21T10:59:16.680439,2023-10-21T11:01:53.521567,2023-10-21T11:04:01.328806,2023-10-21T11:06:37.147415,2023-10-21T11:09:24.767237,2023-10-21T11:12:29.737628,2023-10-21T11:14:48.765113,2023-10-21T11:33:17.839442,2023-10-21T11:45:56.215101,2023-10-21T11:48:29.697132,2023-10-21T11:51:51.357325,2023-10-21T11:54:56.600191,2023-10-21T13:53:18.558109,2023-10-21T14:46:49.321917,2023-10-21T15:29:00.068713,2023-10-21T15:59:28.617047,2023-10-21T16:04:08.523130,2023-10-21T16:27:26.583949
0328.txt,1692608,1650962,1348077,17108167,1692608,14613557,2099976,5404800,1582552,7348417,1329165,4927365,4757648,840784,4927365,4927365,1092138,840784,4927365,4927365,4927365,4927365,4927365,4927365,4927365,4927365,4927365,5279845,5630207,2333861,2333861,2333861,2386848,2333861,2333861,2333861.0,2333861.0,2333861.0
0329.txt,1471347,1885499,1471347,50710422,1471347,12639186,2345158,1263160,985777,699385,385683,862989,995643,1121300,865759,862989,904978,512351,1168332,601043,865759,946590,865759,922991,865759,865759,922991,601043,3848262,1358652,1358652,1358652,1887650,1358652,1358652,1362923.0,1391107.0,1358652.0
0330.txt,28501,28501,28501,41969301,28501,41898301,22701,21301,12501,13101,98601,48001,47701,44001,48001,48001,42901,30001,30001,48001,48001,48001,48001,48001,48001,48001,48001,48001,12097701,292801,292801,292801,292801,292801,292801,292801.0,849201.0,292801.0
0331.txt,1184035,1184035,1184035,39667712,1184035,20464759,906670,1895430,1653510,1434738,1348235,1061887,1153086,1406505,1061887,1061887,1039051,1113884,1393238,1061887,1061887,1061887,1061887,1061887,1061887,1061887,1061887,1061887,476280,2233129,2233129,2233129,2655005,2233129,2233129,2233129.0,2233129.0,2233129.0
0332.txt,78851,60451,60451,26801951,78851,25343051,187351,12351,152451,109751,26751,54951,62551,135951,54951,54951,153951,167251,54951,54951,54951,54951,54951,54951,54951,54951,54951,54951,1989951,248851,248851,248851,248851,248851,248851,248851.0,248851.0,248851.0
0333.txt,129398,129398,129398,73097123,129398,44065289,1721967,3270279,266520,196029,225068,1648664,130705,50345,1648664,1648664,162597,138139,281352,462670,1648664,449406,462670,449406,462670,462670,462670,1648664,11253178,190313,190313,190313,238599,190313,190313,190313.0,190313.0,190313.0
0334.txt,2506334,2506334,2506334,30895353,2506334,41471941,2518626,2601230,2155873,1119998,1645506,292344,10590495,2125997,292344,292344,292344,2125997,292344,292344,292344,292344,292344,292344,292344,292344,292344,2732127,5955951,290676,290676,290676,290676,233611,233611,233611.0,233611.0,233611.0
0335.txt,6438021,6813501,6813501,25340743,6438021,14272872,6670231,4360782,7069934,7437402,6694630,7989647,7408309,5746324,7989647,7989647,6780372,4230861,7989647,7989647,7989647,7989647,7989647,7989647,7989647,7989647,7989647,7028200,7549320,2457883,2457883,2457883,2457883,2457883,2457883,2457883.0,2457883.0,2457883.0
0336.txt,454335,547706,454335,62873413,454335,33092532,1109466,535225,68794,27290,623315,74265,73411,815077,74265,74265,341887,101324,129594,74265,74265,74265,74265,74265,74265,74265,74265,74265,3450711,525752,525752,525752,613154,525752,525752,525752.0,525752.0,525752.0
0337.txt,2137691,2906265,2906265,33267760,2137691,27518793,1998201,580585,2528151,2990153,1937059,659545,2294431,652595,659545,659545,369014,496419,736656,659545,659545,659545,659545,659545,659545,659545,659545,1194456,15795278,88702,88702,88702,88797,88702,88702,88702.0,88702.0,88702.0
0338.txt,4521701,379601,4521701,28828901,4521701,57232501,994201,1048501,275401,275401,4521701,1282501,332101,3478301,1282501,1282501,790901,3478301,1828301,1282501,1282501,1282501,1282501,1282501,1282501,1282501,1282501,3111501,5196001,383901,383901,383901,383901,383901,383901,383901.0,383901.0,383901.0
0339.txt,28555,28555,28555,59722842,28555,42245739,1326666,196119,148653,388943,252068,1289735,45091,268564,73498,1289735,115885,268564,537082,1289735,73498,73498,73498,73498,73498,73498,1289735,2598583,13301227,576785,576785,576785,586625,576785,576785,576785.0,576785.0,576785.0
0340.txt,3621697,2765241,1580046,40327222,3621697,2647991,2399381,4757412,3506138,3837057,2672788,1971082,1921025,3545340,1971082,1971082,1539427,1625382,1971082,1971082,1971082,1971082,1971082,1971082,1971082,1971082,1971082,2869911,1776285,2607796,2607796,2607796,2800590,2607796,2596524,2596524.0,2596524.0,2596524.0
